nodeName	Degree
TAF1	23
FDFT1	23
SRSF9	7
GON4L	1
KRTAP5-7	61
TTN	64
MYO10	5
TGFBR2	84
ADIPOQ	59
CLDN19	60
TTMP	71
TUBA1A	33
PRKACA	57
C5	17
PM20D2	23
SERPINH1	40
RYBP	52
BEX3	36
MKL1	23
PHF20L1	7
KDM1A	246
SAP30	13
VCP	64
FOXD4L6	28
BEX5	24
RIPPLY2	12
TTC33	14
RNF111	62
SPATA2L	20
NETO2	5
NSMCE2	7
TM6SF1	6
MED28	22
METTL7A	11
MEAF6	13
ZNF639	13
RNF112	23
COPS3	52
ZNF232	29
MSRB2	13
EMILIN1	33
KHDRBS3	55
ATXN1L	88
PBX4	73
SUV39H1	116
RBMX	42
GSK3B	130
SRSF10	9
E9KL30	7
MAGEB2	10
NUPR1	22
EIF1B	8
BCAR3	37
ESRRA	25
VCL	25
RXRA	43
MDH1	5
CSNK1D	63
SEM1	17
RELA	87
GRIN1	5
CBLB	39
SAFB2	7
SPATA22	21
TAF15	3
TNPO1	10
NKD2	10
PSMB7	14
RPP25	26
TDRD3	3
PTBP2	23
CACNA1A	91
AR	79
SIRPA	15
LRRK2	38
MET	90
BACE2	19
CALM3	65
SUMO1	76
PICK1	358
CCNC	84
RBM11	37
RCN1	29
KLHL12	66
UBQLN2	255
GAB2	12
PTN	108
RXRG	34
DNAJB6	91
VIM	191
EIF2S3	31
PSMA1	176
TMEM205	17
ASPH	72
HNRNPK	117
AP2B1	74
DEUP1	47
TRIP6	150
CEP63	72
CRYAA2	103
COX4I1	18
ERICH2	5
WDR91	5
A8K3Q9	2
A8K878	3
B0QZE7	77
B7Z3E8	18
HAX1	23
AP3B1	6
HIP1	85
TNFRSF11B	3
IPO5	7
PSMD14	23
KPNA3	46
PES1	3
TRAFD1	2
EIF1AY	2
STX16	13
TCERG1	8
PSMA7	22
NACAD	12
KMO	1
BIRC5	21
SEPTIN4	8
PSMD3	21
HOXC11	17
MTSS1	2
PPIH	13
CHMP2A	9
LANCL1	2
NDUFS5	15
KLK8	15
ZFC3H1	19
ZNF500	8
GDF9	43
PPL	37
DLX3	14
EIF4E2	47
SNX2	23
PQBP1	20
EDF1	7
RNF40	18
PPP6R2	2
VPS4B	10
ENTPD5	2
PRPF40A	202
TACC1	17
TADA3	29
EIF3G	19
FLOT1	10
NEBL	43
MICAL2	8
AP2A2	3
FSBP	17
TNFSF15	3
ELP1	20
KAT7	42
SOX14	17
TGDS	3
CDS2	39
SNAP29	30
LSM8	59
ZMYM6	17
PEX11B	2
HPRT1	12
MT2A	20
PLA2G1B	2
ALDOA	15
CSF2	6
PRNP	7
TP53	186
SSB	7
KRT18	47
CKM	5
ENO1	47
LDHB	7
TUBB	23
HNRNPC	46
SP1	18
SYP	39
HMBS	3
CYC1	11
HOXC4	32
VIL1	2
FBP1	20
GNAO1	16
CNP	2
COX6C	9
TRIM49	6
HSPA1A	19
CBSL	12
COX5B	44
HSPA8	62
COX6A1	7
IMPDH2	13
EEF2	4
CD59	3
NCF1	16
PKM	37
EZR	14
CREB1	43
ZNF19	26
TAL1	8
DES	43
PSMC3	33
TCP1	13
TRIM21	43
NFKB1	27
EIF2S2	24
TBP	31
HOXA5	12
CYP3A5	4
MMUT	1
TNXB	5
CBL	51
RPS3	19
F8A1|F8A2|F8A3	2
EEF1B2	5
ATP5PB	9
RPS12	6
ATP5F1A	4
PSMA4	21
RPL13	21
EEF1G	93
FKBP2	9
GCA	15
IMPA1	5
EEF1D	35
DNAJA1	19
AKT1	145
YWHAB	23
PFN2	25
CTNNB1	54
RPL22	23
CBS	19
MSX2	45
KRT20	50
RPL4	9
SREBF1	7
DLST	83
TAGLN2	5
TALDO1	7
BRCA1	66
RPS19	8
CCT6A	26
VHL	91
HADHA	6
CETN2	8
MNDA	20
PTGDS	15
ACTR1B	6
PIK3CA	35
SLC1A2	2
MATR3	19
ETV4	5
MAGEA3	15
RANGAP1	9
RPS5	15
ATP5PO	18
GLIPR1	1
ARCN1	5
PRIM1	4
STAR	10
PSMB3	16
PSMB2	18
CLK1	21
GSK3A	10
MEOX1	97
CSRP3	5
ST13	21
RASSF2	14
CCT8	16
BCAP31	10
PSMD7	17
GPM6A	6
MNAT1	38
CCNG1	19
KPNA2	78
RBM5	22
ARFIP2	61
CRYBA2	32
HAP1	95
PDE1A	1
NAPA	5
EIF5	4
PSMD4	30
CASP7	17
CDH13	9
SEC13	13
SUMO3	25
MAZ	5
CTBP2	88
NME5	5
TPI1	11
SNAP25	15
PSMA6	35
SPCS3	2
RAB5B	7
RPL15	6
RPL27	6
ATP6V0D1	17
STXBP1	15
SUMO2	60
DCAF7	8
PPP1CA	74
SNRPF	29
SNRPD2	21
H4C1|H4C2|H4C3|H4C4|H4C5|H4C6|H4C8|H4C9|H4C11|H4C12|H4C13|H4C14|H4C15|H4-16	79
RAN	151
GNB1	66
GNB2	57
DYNLL1	57
CBX1	25
RPL19	7
MAT1A	3
SLC25A3	3
CLTC	18
U2AF1	48
SPIB	4
ID2	43
SP3	8
SLC25A11	10
TFF2	11
EEF1A2	8
ZNF33B	4
RPL18	4
PPARA	54
TLE5	356
VAC14	103
ARL16	21
Q0VG73	1
SCRN1	4
EFEMP1	42
CHD3	96
SF3A3	21
HYAL2	15
TMEM115	15
ECH1	14
PDZK1IP1	88
NR1H3	40
G3BP1	5
KCNAB2	7
PABPC4	10
EIF3I	31
MED21	26
DCTN2	35
NEUROD1	11
SNW1	130
GRAP	7
PTCH1	11
RAPSN	11
PTK6	30
CCIN	4
CAMK1	4
DELE1	10
CRMP1	86
DPYSL3	10
EIF4A2	19
KPNB1	14
OPCML	7
MORF4L2	51
SETDB1	225
PDK2	4
PLEC	7
RAB35	13
SF3B3	45
TRIP10	30
TWIST1	3
ATP6AP1	10
SEPTIN7	7
PPP2R5E	5
DPYSL2	9
TBR1	9
MOG	2
